seq	visual_nr	file	caption
1	None	amintiri-din-aplicatiile-marca-geomontindeplasare.jpg	Amintiri din aplicațiile marca #GeomontÎnDeplasare
2	1	afisul-sedintei-inaugurale.jpg	Afișul ședinței inaugurale
3	2	membrii-fondatori.jpg	Membrii fondatori
4	3	geomont-004.jpg	
5	4	geomont-005.jpg	
6	5	sigla-geomont.png	Sigla GEOMONT
7	6	anuntul-excursiei-de-iarna-2018.jpg	Anunțul excursiei de iarnă 2018
8	7	pe-partia-kalinderu-din-busteni.jpg	Pe pârtia Kalinderu din Bușteni
9	8	tot-pe-partia-kalinderu-din-busteni-pregatiti-pentru-o-noua-tura-de-sanius.jpg	Tot pe pârtia Kalinderu din Bușteni, pregătiți pentru o nouă tură de săniuș
10	9	geomont-010.jpg	
11	10	spre-poiana-stanii-regale.jpg	Spre Poiana Stânii Regale
12	11	geomont-012.jpg	
13	12	da-iubim-geografia.jpg	Da, Iubim Geografia!
14	13	geomont-014.jpg	
15	14	geomont-015.jpg	
16	15	in-gara-din-busteni-la-finalul-drumetiei.jpg	În gara din Bușteni, la finalul drumeției
17	16	in-pas-lejer-pe-strada-principala-din-moieciu-de-sus.jpg	În pas lejer, pe strada principală din Moieciu de Sus
18	17	aici-incepea-urcusul.jpg	Aici începea urcușul...
19	18	peisaj-tipic-regiunii-moieciu-de-sus-cu-muntii-bucegi-pe-fundal.jpg	Peisaj tipic regiunii Moieciu de Sus, cu Munții Bucegi pe fundal
20	19	geomont-020.jpg	
21	20	geomont-021.jpg	
22	21	pauza-de-respiro-si-admirat-peisajele.jpg	Pauză de respiro și admirat peisajele
23	22	geomont-023.jpg	
24	23	poza-de-grup-la-stanca.jpg	Poză de grup La Stâncă
25	24	tur-de-orizont-cu-explicatii-geografice.jpg	Tur de orizont cu explicații geografice
26	25	plimbare-prin-primavara.jpg	Plimbare prin primăvară
27	26	sarbatorim-centenarul-marii-uniri.jpg	Sărbătorim Centenarul Marii Uniri
28	27	geomont-028.jpg	
29	28	cred-ca-a-picat-dupa-ce-am-facut-poza.jpg	Cred că a picat după ce am făcut poza
30	29	am-fost-trupa-numeroasa.jpg	Am fost trupă numeroasă...
31	30	geomont-031.jpg	
32	31	geomont-032.jpg	
33	32	geomont-033.jpg	
34	33	geomont-034.jpg	
35	34	geomont-035.jpg	
36	35	geomont-036.jpg	
37	36	geomont-037.jpg	
38	37	geomont-038.jpg	
39	38	geomont-039.jpg	
40	39	geomont-040.jpg	
41	40	in-sir-indian-spre-culmea-pricopanului.jpg	În șir indian, spre Culmea Pricopanului
42	41	geomont-042.jpg	
43	42	geomont-043.jpg	
44	43	geomont-044.jpg	
45	44	geomont-045.jpg	
46	45	geomont-046.jpg	
47	46	geomont-047.jpg	
48	47	geomont-048.jpg	
49	48	geomont-049.jpg	
50	49	poza-de-grup-in-poiana-maicilor.jpg	Poză de grup în Poiana Maicilor
51	50	geomont-051.jpg	
52	51	geomont-052.jpg	
53	52	peisaj-vazut-din-fata-cabanei-dochia.jpg	Peisaj văzut din fața cabanei Dochia
54	53	incercam-sa-coboram-spre-cascada-duruitoarea-dar-ploaia-si-zapada-de-pe-traseu-ne-au-intor.jpg	Încercam să coborâm spre cascada Duruitoarea, dar ploaia și zăpada de pe traseu ne-au întors din drum
55	54	geomont-055.jpg	
56	55	vf-toaca.jpg	Vf. Toaca
